#Timestamp Index Source_Key Target_Key Source_Xmin Source_Xmax Source_Ymin Source_Ymax Target_Xmin Target_Xmax Target_Ymin Target_Ymax IoU totalscore matchlabel isWithinImage isInFront
42.349999998 848 8286623314361712643 8142508126285856827 140.727874756 170.593475342 375.201629639 412.649810791 188.429161395 215.614872676 336.115001654 367.739911456 0.000000000 0.480153634 4 1 1
42.349999998 848 8286623314361712644 8142508126285856827 170.456771851 197.484481812 347.369750977 378.906311035 188.429161395 215.614872676 336.115001654 367.739911456 0.120746592 0.728438318 5 1 1
42.349999998 848 8286623314361712646 8142508126285856883 189.939529419 216.932266235 417.090423584 441.014984131 209.160177892 255.679234494 384.220381476 423.639253320 0.020957615 0.181333481 4 1 1
42.399999999 849 8286623314361712640 8142508126285856883 186.648742676 252.064147949 384.330230713 440.725006104 216.381548896 262.742316203 383.208024594 422.776288243 0.330436400 0.712377136 5 1 1
42.399999999 849 8286623314361712643 8142508126285856827 176.737960815 204.201522827 347.146850586 378.521667480 194.873178124 222.257123379 335.469376329 366.978619092 0.120166214 0.438081793 4 1 1
42.399999999 849 8286623314361712645 8142508126285856883 197.143218994 223.871429443 416.657897949 440.699462891 216.381548896 262.742316203 383.208024594 422.776288243 0.018849311 0.254258598 5 1 1
42.399999999 849 8286623314361712646 8142508126285856883 186.495697021 225.909088135 385.783752441 420.638183594 216.381548896 262.742316203 383.208024594 422.776288243 0.115462081 0.210139976 4 1 1
42.399999999 849 8286623314361712647 8142508126285856825 378.445678711 475.327209473 259.558654785 334.457458496 409.953370505 469.669210340 242.559109858 334.552340242 0.540362543 0.900861266 4 1 1
42.399999999 849 8286623314361712648 8142508126285856837 339.777282715 516.495178223 299.181274414 416.287475586 365.265066494 545.552780920 296.361450580 402.077564138 0.643201689 0.784544540 4 1 1
42.449999998 850 8286623314361712640 8142508126285856830 241.610290527 311.208984375 320.634582520 404.551574707 266.220538477 323.931262602 317.327152532 389.898402182 0.450782665 0.195544315 4 1 1
42.449999998 850 8286623314361712641 8142508126285856883 208.750274658 263.708251953 390.165802002 446.584136963 228.246571194 274.413791440 388.589375980 428.525188333 0.379536819 0.777939368 5 1 1
42.449999998 850 8286623314361712642 8142508126285856827 158.195938110 189.239212036 382.141204834 419.204803467 205.544424480 233.209714364 341.444828308 372.789860197 0.000000000 0.486477252 4 1 1
42.449999998 850 8286623314361712643 8142508126285856827 187.705749512 215.465881348 353.703491211 384.760375977 205.544424480 233.209714364 341.444828308 372.789860197 0.122968168 0.539786808 4 1 1
42.449999998 850 8286623314361712645 8142508126285856825 387.589965820 461.113098145 262.221710205 336.012725830 419.264807273 480.784501331 243.845748354 336.072145933 0.385470646 0.838651155 4 1 1
42.449999998 850 8286623314361712648 8142508126285856883 209.096481323 236.507156372 422.549743652 446.565551758 228.246571194 274.413791440 388.589375980 428.525188333 0.020125409 0.256758209 5 1 1
42.499999999 851 8286623314361712640 8142508126285856883 202.247612000 268.068305969 394.914886475 452.267364502 232.753358552 278.930215089 393.532657644 433.703897604 0.321546999 0.719544019 5 1 1
42.499999999 851 8286623314361712641 8142508126285856827 191.823455811 219.474517822 358.617340088 389.685272217 209.837836328 237.581336844 346.322745864 377.727223293 0.119104103 0.582752034 4 1 1
42.499999999 851 8286623314361712643 8142508126285856834 162.438446045 193.731750488 387.285095215 424.653991699 180.143665235 211.786310494 375.173851179 413.873792021 0.177740874 0.724293478 4 1 1
42.499999999 851 8286623314361712645 8142508126285856825 391.972900391 468.477905273 266.398437500 340.526855469 423.314321045 485.669385134 247.665191926 340.298108045 0.411550665 0.946187001 4 1 1
42.499999999 851 8286623314361712646 8142508126285856883 213.559265137 240.858093262 427.870391846 452.226348877 232.753358552 278.930215089 393.532657644 433.703897604 0.019121239 0.356274210 5 1 1
42.549999999 852 8286623314361712640 8142508126285856883 202.996520996 268.744232178 400.664764404 458.633758545 233.488550254 279.754917249 399.387571621 439.811999396 0.320859249 0.628063794 5 1 1
42.549999999 852 8286623314361712641 8142508126285856830 246.517028809 316.862609863 331.841491699 415.671264648 271.037733571 329.352669300 327.515216691 400.580314280 0.449485781 0.192486668 5 1 1
42.549999999 852 8286623314361712642 8142508126285856827 192.561614990 220.290802002 364.271362305 395.498168945 210.519764047 238.328623170 352.006382231 383.522673935 0.121028685 0.638476494 5 1 1
42.549999999 852 8286623314361712643 8142508126285856834 162.509140015 194.365005493 393.010894775 430.598968506 180.704592845 212.432189760 381.045832018 419.909090432 0.178109944 0.740476355 4 1 1
42.549999999 852 8286623314361712644 8142508126285856825 392.151123047 469.756286621 271.348663330 345.390289307 423.925184975 486.771749446 252.854333345 345.777187322 0.414209992 0.828226517 5 1 1
42.549999999 852 8286623314361712646 8142508126285856883 214.237518311 241.080627441 433.856140137 458.521972656 233.488550254 279.754917249 399.387571621 439.811999396 0.018180153 0.250255044 4 1 1
42.549999999 852 8286623314361712648 8142508126285856829 239.772827148 268.633422852 401.289916992 423.362670898 217.109212538 277.062264126 361.655244826 434.132190265 0.146605626 0.071637570 4 1 1
42.599999998 853 8286623314361712640 8142508126285856830 245.066703796 314.693000793 331.167297363 416.423889160 269.329135333 327.638138605 327.890015988 401.036949269 0.450754709 0.123509063 5 1 1
42.599999998 853 8286623314361712641 8142508126285856827 190.650848389 218.301513672 364.763610840 396.095275879 208.796236166 236.618997619 352.341011198 383.895301387 0.116391492 0.672720275 5 1 1
42.599999998 853 8286623314361712642 8142508126285856834 160.833374023 192.325134277 393.462860107 431.182830811 178.872111055 210.616369966 381.397577023 420.313317722 0.175179373 0.714424089 4 1 1
42.599999998 853 8286623314361712643 8142508126285856825 390.658447266 467.600952148 271.735382080 346.229034424 422.162535307 485.030554165 253.352974998 346.339580660 0.413155348 0.912459256 4 1 1
42.599999998 853 8286623314361712645 8142508126285856883 211.766304016 267.332206726 401.604095459 459.158905029 231.701963945 277.998227992 399.798469963 440.258327049 0.372840420 0.764890552 4 1 1
42.599999998 853 8286623314361712646 8142508126285856883 212.315383911 239.309310913 434.531860352 459.149169922 231.701963945 277.998227992 399.798469963 440.258327049 0.017466545 0.225245702 5 1 1
42.649999999 854 8286623314361712640 8142508126285856883 202.392089844 268.240081787 395.810852051 453.472229004 232.913010474 279.064428268 394.552534962 434.820021652 0.322191437 0.736404069 4 1 1
42.649999999 854 8286623314361712643 8142508126285856834 162.350509644 193.739822388 388.163726807 425.801727295 180.129113402 211.858095577 376.255974702 414.991271817 0.178525511 0.602760777 4 1 1
42.649999999 854 8286623314361712644 8142508126285856825 391.358825684 468.117004395 266.843750000 340.920715332 422.919790772 485.782981439 248.183865181 341.061833309 0.409472710 0.917266281 5 1 1
42.649999999 854 8286623314361712646 8142508126285856883 213.584671021 240.805282593 428.953796387 453.393310547 232.913010474 279.064428268 394.552534962 434.820021652 0.018688363 0.397418081 5 1 1
42.699999998 855 8286623314361712640 8142508126285856883 205.714599609 271.173095703 385.083282471 441.780487061 235.987311928 281.890666730 383.590613041 423.397738229 0.321711908 0.754932887 5 1 1
42.699999998 855 8286623314361712641 8142508126285856830 248.337043762 318.726188660 315.744812012 399.700073242 273.336833764 331.247682675 312.425033478 384.992870965 0.451022976 0.153171749 4 1 1
